sample-id	Type	Phase	Soil	Status 	Species	Glade	Presence	A.ten	S.sco	Other Grasses	Other Legumes	Other Forbs	Woody	Bryophytes	Detritus	Gravel/Rock	Bare Ground	Avg	Avg Phosphate	Avg pH	Total N
S521-N718_P212N	Nodule	Two	AT	Live	AT	LF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S521-N719_P235N	Nodule	Two	SS	Live	AB	VES	HA	0.4	24.5	3.2	11.5	19.5	3	12.2	11.5	12	5.8	26.3	0.035	7	1.303
S521-N720_P237R	Root	Two	AT	Live	AB	VES	HA	0.4	24.5	3.2	11.5	19.5	3	12.2	11.5	12	5.8	26.3	0.035	7	1.303
S521-N722_P559R	Root	Two	AB	Live	AB	LF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S521-N723_P608N	Nodule	Two	AB	Live	AB	SAV	HA	0	19.5	5.2	4.2	23.5	21.9	2.7	0	8	9.5	41.5	0.044	7.9	1.263
S521-N727_P182R	Root	Two	AB	Live	AB	HF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S521-N728_P492R	Root	Two	SS	Live	AT	LF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S521-N729_P473R	Root	Two	AB	Sterile	SS	LF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S522-N702_Ab_SAV	Inoculum	None	HOME	Live	INO	SAV	HA	0	19.5	5.2	4.2	23.5	21.9	2.7	0	8	9.5	41.5	0.044	7.9	1.263
S522-N714_P141N	Nodule	Two	SS	Live	AB	SAV	HA	0	19.5	5.2	4.2	23.5	21.9	2.7	0	8	9.5	41.5	0.044	7.9	1.263
S515-N722_P555N	Nodule	Two	AB	Live	AB	CVL	HP														
S522-N716_P184R	Root	Two	AB	Live	AB	HF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S522-N718_P212R	Root	Two	AT	Live	AT	LF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S522-N719_P235R	Root	Two	SS	Live	AB	VES	HA	0.4	24.5	3.2	11.5	19.5	3	12.2	11.5	12	5.8	26.3	0.035	7	1.303
S522-N720_P239N	Nodule	Two	AT	Live	AB	VES	HA	0.4	24.5	3.2	11.5	19.5	3	12.2	11.5	12	5.8	26.3	0.035	7	1.303
S522-N723_P608R	Root	Two	AB	Live	AB	SAV	HA	0	19.5	5.2	4.2	23.5	21.9	2.7	0	8	9.5	41.5	0.044	7.9	1.263
S522-N727_P183N	Nodule	Two	AB	Live	AB	HF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S502-N701_Ab_APT_1	Soil	One	HOME	Live	AB	APT	HP	0.3	0.5	0.3	3	47.1	0.8	5	7	8	0.2	37.4	0.036	8	0.554
S502-N703_Ab_DVS_2	Soil	One	HOME	Live	AB	DVS	HP	0.4	0.2	14.4	19.5	13.5	0.4	21.9	12.4	48.5	0.6	19.1	0.033	8.1	1.038
S502-N705_Ss_APT_1	Soil	One	HOME	Live	SS	APT	HP	0.3	0.5	0.3	3	47.1	0.8	5	7	8	0.2	37.4	0.036	8	0.554
S502-N706_Ss_DVS_3	Soil	One	HOME	Live	SS	DVS	HP	0.4	0.2	14.4	19.5	13.5	0.4	21.9	12.4	48.5	0.6	19.1	0.033	8.1	1.038
S502-N710_At_APT_3	Soil	One	HOME	Live	AT	APT	HP	0.3	0.5	0.3	3	47.1	0.8	5	7	8	0.2	37.4	0.036	8	0.554
S502-N711_At_DPW_1	Soil	One	HOME	Live	AT	DPW	HP	0.4	20.4	12	14.4	27.5	7	2.3	24.6	14	4.1	51	0.052	8.1	1.233
S503-N701_Ab_APT_2	Soil	One	HOME	Live	AB	APT	HP	0.3	0.5	0.3	3	47.1	0.8	5	7	8	0.2	37.4	0.036	8	0.554
S503-N703_Ab_DVS_3	Soil	One	HOME	Live	AB	DVS	HP	0.4	0.2	14.4	19.5	13.5	0.4	21.9	12.4	48.5	0.6	19.1	0.033	8.1	1.038
S503-N704_Ab_APT_1a	Soil	One	HOME	Live	AB	APT	HP	0.3	0.5	0.3	3	47.1	0.8	5	7	8	0.2	37.4	0.036	8	0.554
S503-N705_Ss_APT_2	Soil	One	HOME	Live	SS	APT	HP	0.3	0.5	0.3	3	47.1	0.8	5	7	8	0.2	37.4	0.036	8	0.554
S503-N710_At_APT_2	Soil	One	HOME	Live	AT	APT	HP	0.3	0.5	0.3	3	47.1	0.8	5	7	8	0.2	37.4	0.036	8	0.554
S505-N701_Ab_APT_3	Soil	One	HOME	Live	AB	APT	HP	0.3	0.5	0.3	3	47.1	0.8	5	7	8	0.2	37.4	0.036	8	0.554
S505-N703_Ab_MNS_1	Soil	One	HOME	Live	AB	MNS	HP	0	60.5	2.3	1	6.4	1.5	0.4	21.5	8	1.6	25.5	0.047	8	1.154
S505-N704_Ab_DPE_1	Soil	One	HOME	Live	AB	DPE	HP	0.8	4	3.8	2.9	25.5	8.2	33	14.4	12.2	0.2	86.7	0.04	8	0.846
S505-N705_Ss_APT_3	Soil	One	HOME	Live	SS	APT	HP	0.3	0.5	0.3	3	47.1	0.8	5	7	8	0.2	37.4	0.036	8	0.554
S516-N722_P555R	Root	One	AB	Live	AB	CVL	HP														
S505-N710_At_DAV_1	Soil	One	HOME	Live	AT	DVS	HP	0.4	0.2	14.4	19.5	13.5	0.4	21.9	12.4	48.5	0.6	19.1	0.033	8.1	1.038
S506-N703_Ab_MNS_2	Soil	One	HOME	Live	AB	MNS	HP	0	60.5	2.3	1	6.4	1.5	0.4	21.5	8	1.6	25.5	0.047	8	1.154
S506-N704_Ab_DPE_2	Soil	One	HOME	Live	AB	DPE	HP	0.8	4	3.8	2.9	25.5	8.2	33	14.4	12.2	0.2	86.7	0.04	8	0.846
S506-N705_Ss_DPW_1	Soil	One	HOME	Live	SS	DPW	HP	0.4	20.4	12	14.4	27.5	7	2.3	24.6	14	4.1	51	0.052	8.1	1.233
S507-N703_Ab_MNS_3	Soil	One	HOME	Live	AB	MNS	HP	0	60.5	2.3	1	6.4	1.5	0.4	21.5	8	1.6	25.5	0.047	8	1.154
S507-N704_Ab_DPE_3	Soil	One	HOME	Live	AB	DPE	HP	0.8	4	3.8	2.9	25.5	8.2	33	14.4	12.2	0.2	86.7	0.04	8	0.846
S517-N702_Blank_9	Blank	None	NA	Live	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S507-N705_Ss_DPW_2	Soil	One	HOME	Live	SS	DPW	HP	0.4	20.4	12	14.4	27.5	7	2.3	24.6	14	4.1	51	0.052	8.1	1.233
S507-N706_Ss_MNS_1	Soil	One	HOME	Live	SS	MNS	HP	0	60.5	2.3	1	6.4	1.5	0.4	21.5	8	1.6	25.5	0.047	8	1.154
S507-N710_At_DAV_3	Soil	One	HOME	Live	AT	DVS	HP	0.4	0.2	14.4	19.5	13.5	0.4	21.9	12.4	48.5	0.6	19.1	0.033	8.1	1.038
S508-N704_Ab_DPW_1	Soil	One	HOME	Live	AB	DPW	HP	0.4	20.4	12	14.4	27.5	7	2.3	24.6	14	4.1	51	0.052	8.1	1.233
S508-N705_Ss_DPW_3	Soil	One	HOME	Live	SS	DPW	HP	0.4	20.4	12	14.4	27.5	7	2.3	24.6	14	4.1	51	0.052	8.1	1.233
S508-N706_Ss_MNS_2	Soil	One	HOME	Live	SS	MNS	HP	0	60.5	2.3	1	6.4	1.5	0.4	21.5	8	1.6	25.5	0.047	8	1.154
S508-N710_At_DAV_2	Soil	One	HOME	Live	AT	DVS	HP	0.4	0.2	14.4	19.5	13.5	0.4	21.9	12.4	48.5	0.6	19.1	0.033	8.1	1.038
S510-N704_Ab_DPW_2	Soil	One	HOME	Live	AB	DPW	HP	0.4	20.4	12	14.4	27.5	7	2.3	24.6	14	4.1	51	0.052	8.1	1.233
S510-N705_Ss_DVS_1	Soil	One	HOME	Live	SS	DVS	HP	0.4	0.2	14.4	19.5	13.5	0.4	21.9	12.4	48.5	0.6	19.1	0.033	8.1	1.038
S510-N706_Ss_MNS_3	Soil	One	HOME	Live	SS	MNS	HP	0	60.5	2.3	1	6.4	1.5	0.4	21.5	8	1.6	25.5	0.047	8	1.154
S510-N710_At_DPW_2	Soil	One	HOME	Live	AT	DPW	HP	0.4	20.4	12	14.4	27.5	7	2.3	24.6	14	4.1	51	0.052	8.1	1.233
S511-N702_Ab_DVS_1	Soil	One	HOME	Live	AB	DVS	HP	0.4	0.2	14.4	19.5	13.5	0.4	21.9	12.4	48.5	0.6	19.1	0.033	8.1	1.038
S511-N704_Ab_DPW_3	Soil	One	HOME	Live	AB	DPW	HP	0.4	20.4	12	14.4	27.5	7	2.3	24.6	14	4.1	51	0.052	8.1	1.233
S511-N705_Ss_DVS_2	Soil	One	HOME	Live	SS	DVS	HP	0.4	0.2	14.4	19.5	13.5	0.4	21.9	12.4	48.5	0.6	19.1	0.033	8.1	1.038
S511-N707_At_APT_1	Soil	One	HOME	Live	AT	APT	HP	0.3	0.5	0.3	3	47.1	0.8	5	7	8	0.2	37.4	0.036	8	0.554
S511-N710_At_DPW_3	Soil	One	HOME	Live	AT	DPW	HP	0.4	20.4	12	14.4	27.5	7	2.3	24.6	14	4.1	51	0.052	8.1	1.233
S513-N703_Ab_DVS	Soil	One	HOME	Live	AB	DVS	HP	0.4	0.2	14.4	19.5	13.5	0.4	21.9	12.4	48.5	0.6	19.1	0.033	8.1	1.038
